feature,raw,normalized,category,abs_norm
scaled_poly_ma_10^2,-0.0012315457875394446,-0.0012315457875394446,ma,0.0012315457875394446
lag_return_5d,-0.0012295162019015935,-0.0012295162019015935,other,0.0012295162019015935
scaled_obv,0.0011755851733775632,0.0011755851733775632,other,0.0011755851733775632
poly_macd volatility_std_20d,0.0011718472343293254,0.0011718472343293254,other,0.0011718472343293254
price_over_ma_20,0.0011574117041715445,0.0011574117041715445,ma,0.0011574117041715445
scaled_lag_return_3d,-0.0010829890224352994,-0.0010829890224352994,other,0.0010829890224352994
poly_return_5d macd,0.0010712911047493865,0.0010712911047493865,other,0.0010712911047493865
scaled_poly_rsi_14 volatility_std_20d,-0.0010689613897514505,-0.0010689613897514505,other,0.0010689613897514505
poly_return_1d macd,-0.0010443221162343736,-0.0010443221162343736,other,0.0010443221162343736
rolling_cum_return_5d,-0.001039608283593827,-0.001039608283593827,other,0.001039608283593827
macd_signal,0.001031939253684835,0.001031939253684835,other,0.001031939253684835
scaled_lag_return_2d,-0.0010034308074498572,-0.0010034308074498572,other,0.0010034308074498572
ma_20,-0.001002689168913804,-0.001002689168913804,ma,0.001002689168913804
poly_return_1d volatility_std_20d,0.0009289586422026385,0.0009289586422026385,other,0.0009289586422026385
scaled_stoch_d,0.0009255587643667225,0.0009255587643667225,other,0.0009255587643667225
close,-0.0008914309310376899,-0.0008914309310376899,other,0.0008914309310376899
scaled_poly_return_5d^2,-0.0008233947750919264,-0.0008233947750919264,other,0.0008233947750919264
volume_over_ma_10,-0.0008124662541017625,-0.0008124662541017625,ma,0.0008124662541017625
price_over_ma_200,-0.0007916799380336957,-0.0007916799380336957,ma,0.0007916799380336957
ma_50_slope,0.0007822343632071152,0.0007822343632071152,ma,0.0007822343632071152
volatility_std_10d,0.0007812809733586852,0.0007812809733586852,other,0.0007812809733586852
scaled_return_1d,0.0007750661874420477,0.0007750661874420477,other,0.0007750661874420477
poly_volatility_std_20d,0.0007649801912000513,0.0007649801912000513,other,0.0007649801912000513
poly_volatility_std_20d^2,0.0007560801818110446,0.0007560801818110446,other,0.0007560801818110446
atr_14,0.0007507127954687404,0.0007507127954687404,other,0.0007507127954687404
volume_over_ma_5,0.0007435935234547765,0.0007435935234547765,ma,0.0007435935234547765
